player,team,pos,bye,projection,adp,tier
Christian McCaffrey,SF,RB,9,320,1.2,1
CeeDee Lamb,DAL,WR,7,300,2.1,1
Tyreek Hill,MIA,6,WR,295,3.0,1
Ja'Marr Chase,CIN,12,WR,288,4.2,1
Bijan Robinson,ATL,RB,12,275,5.4,1
Breece Hall,NYJ,RB,12,270,6.1,1
Amon-Ra St. Brown,DET,5,WR,268,7.3,1
Justin Jefferson,MIN,6,WR,265,8.0,1
A.J. Brown,PHI,5,WR,255,10.5,2
Garrett Wilson,NYJ,12,WR,248,12.0,2
Puka Nacua,LAR,6,WR,244,13.5,2
Jonathan Taylor,IND,14,RB,240,14.0,2
Saquon Barkley,PHI,5,RB,238,15.5,2
Jahmyr Gibbs,DET,5,RB,236,16.0,2
Kyren Williams,LAR,6,RB,232,17.5,2
Marvin Harrison Jr.,ARI,11,WR,230,18.0,2
Davante Adams,LV,10,WR,225,20.0,3
Drake London,ATL,12,WR,220,22.0,3
Chris Olave,NO,12,WR,218,24.0,3
Nico Collins,HOU,14,WR,216,25.0,3
De'Von Achane,MIA,6,RB,214,26.5,3
Josh Allen,BUF,12,QB,390,28.0,1
Jalen Hurts,PHI,5,QB,382,31.0,1
Lamar Jackson,BAL,14,QB,375,34.0,1
Patrick Mahomes,KC,10,QB,365,38.0,2
Sam LaPorta,DET,5,TE,205,39.0,1
Travis Kelce,KC,10,TE,200,42.0,1
Mark Andrews,BAL,14,TE,185,52.0,2
Trey McBride,ARI,11,TE,182,55.0,2
DK Metcalf,SEA,10,WR,205,45.0,4
Mike Evans,TB,11,WR,202,48.0,4
DJ Moore,CHI,7,WR,200,50.0,4
Jaylen Waddle,MIA,6,WR,198,53.0,4
Malik Nabers,NYG,11,WR,196,58.0,4
Cooper Kupp,LAR,6,WR,195,60.0,4
Derrick Henry,BAL,14,RB,210,35.0,3
Isiah Pacheco,KC,10,RB,208,37.0,3
Rachaad White,TB,11,RB,205,40.0,3
James Cook,BUF,12,RB,202,44.0,3
Kenneth Walker III,SEA,10,RB,198,47.0,4
Joe Mixon,HOU,14,RB,196,49.0,4
Alvin Kamara,NO,12,RB,194,51.0,4
C.J. Stroud,HOU,14,QB,340,62.0,3
Anthony Richardson,IND,14,QB,338,65.0,3
George Kittle,SF,9,TE,170,68.0,3
Kyle Pitts,ATL,12,TE,166,72.0,3
Calvin Ridley,TEN,5,WR,180,75.0,5
Tank Dell,HOU,14,WR,178,78.0,5
Tee Higgins,CIN,12,WR,176,80.0,5
Amari Cooper,CLE,10,WR,174,82.0,5
Zay Flowers,BAL,14,WR,172,84.0,5
Najee Harris,PIT,9,RB,185,70.0,5
Aaron Jones,MIN,6,RB,182,73.0,5
David Montgomery,DET,5,RB,180,76.0,5
Raheem Mostert,MIA,6,RB,176,86.0,6
Brian Robinson Jr.,WAS,14,RB,174,90.0,6
Dak Prescott,DAL,7,QB,325,88.0,4
Jordan Love,GB,10,QB,323,92.0,4
Brock Purdy,SF,9,QB,315,105.0,5
Evan Engram,JAX,12,TE,158,95.0,4
David Njoku,CLE,10,TE,154,102.0,4
Jake Ferguson,DAL,7,TE,150,108.0,5
San Francisco 49ers,SF,DST,9,125,150.0,1
Dallas Cowboys,DAL,DST,7,120,155.0,1
Baltimore Ravens,BAL,DST,14,118,160.0,1
Justin Tucker,BAL,K,14,135,165.0,1
Harrison Butker,KC,K,10,132,168.0,1
Brandon Aubrey,DAL,K,7,130,170.0,1
