player,espn_player_id,pos,nfl_team_id,projection,full_ppr_projection,receptions,adp,tier
Josh Allen,3918298,QB,2,369.6901,369.6901,0.0,20.43,1
Jahmyr Gibbs,4429795,RB,8,330.9656,364.8628,67.79,1.38,1
Lamar Jackson,3916387,QB,33,322.9342,322.9342,0.0,36.62,1
Jalen Hurts,4040715,QB,21,320.2878,320.2878,0.0,53.15,1
Drake Maye,4431452,QB,17,319.3945,319.3945,0.0,47.48,1
Jayden Daniels,4426348,QB,28,318.3828,318.3828,0.0,52.09,1
Bijan Robinson,4430807,RB,1,314.8868,352.7737,75.77,2.42,1
Joe Burrow,3915511,QB,4,304.7591,304.7591,0.0,55.99,1
Christian McCaffrey,3117251,RB,25,303.2596,342.7953,79.07,7.55,1
Jaxson Dart,4689114,QB,19,299.7557,299.7557,0.0,80.23,2
Bo Nix,4426338,QB,7,296.2223,296.2223,0.0,95.08,2
Puka Nacua,4426515,WR,14,294.8537,356.289,122.87,5.27,1
Matthew Stafford,12483,QB,14,293.2001,293.2001,0.0,87.6,2
Brock Purdy,4361741,QB,25,292.477,292.477,0.0,106.66,2
Patrick Mahomes,3139477,QB,12,291.2903,291.2903,0.0,107.13,2
Jonathan Taylor,4242335,RB,11,291.1742,316.5149,50.68,6.82,1
Trevor Lawrence,4360310,QB,30,288.3428,288.3428,0.0,95.63,2
Dak Prescott,2577417,QB,6,286.8545,286.8545,0.0,77.76,3
Justin Herbert,4038941,QB,24,283.6447,283.6447,0.0,95.48,3
Caleb Williams,4431611,QB,3,281.6894,281.6894,0.0,92.71,3
Ja'Marr Chase,4362628,WR,4,277.6554,337.5039,119.7,4.2,1
Jared Goff,3046779,QB,8,268.5367,268.5367,0.0,136.27,3
Jaxon Smith-Njigba,4430878,WR,26,268.3732,326.738,116.73,6.0,1
Daniel Jones,3917792,QB,11,267.2414,267.2414,0.0,158.87,3
Tyler Shough,4360689,QB,18,265.9876,265.9876,0.0,153.7,3
Amon-Ra St. Brown,4374302,WR,8,264.9025,323.9537,118.1,8.29,1
Baker Mayfield,3052587,QB,27,264.7741,264.7741,0.0,146.6,4
Derrick Henry,3043078,RB,33,264.0528,274.7444,21.38,17.53,1
James Cook III,4379399,RB,2,261.663,279.623,35.92,11.14,1
De'Von Achane,4429160,RB,15,261.0257,293.3917,64.73,12.05,2
Jordan Love,4036378,QB,9,258.9816,258.9816,0.0,156.53,4
Saquon Barkley,3929630,RB,21,252.0062,273.6115,43.21,14.6,2
Kyler Murray,3917315,QB,16,250.5986,250.5986,0.0,141.81,4
Kenneth Walker III,4567048,RB,12,249.9994,274.1877,48.38,23.95,2
Ashton Jeanty,4890973,RB,13,248.2328,280.849,65.23,20.56,2
Breece Hall,4427366,RB,20,247.9229,273.9869,52.13,35.12,2
C.J. Stroud,4432577,QB,34,246.5658,246.5658,0.0,165.26,4
Jeremiyah Love,4870808,RB,22,245.896,278.4744,65.16,24.88,2
Sam Darnold,3912547,QB,26,242.5635,242.5635,0.0,162.25,4
CeeDee Lamb,4241389,WR,6,241.9877,293.691,103.41,11.3,1
Javonte Williams,4361579,RB,6,241.2702,259.7163,36.89,34.43,3
Josh Jacobs,4047365,RB,9,241.1286,259.1031,35.95,39.02,3
Chase Brown,4362238,RB,4,239.9414,272.0805,64.28,19.05,3
Malik Willis,4242512,QB,15,239.0898,239.0898,0.0,167.27,4
Justin Jefferson,4262921,WR,16,238.3414,293.71,110.74,12.44,1
Bryce Young,4685720,QB,29,237.5276,237.5276,0.0,168.87,5
Omarion Hampton,4685382,RB,24,235.9013,261.7108,51.62,21.7,3
Geno Smith,15864,QB,20,232.3023,232.3023,0.0,170.11,5
Travis Etienne Jr.,4239996,RB,18,223.729,246.1259,44.79,43.27,3
Cam Ward,4688380,QB,10,219.9844,219.9844,0.0,169.2,5
Aaron Rodgers,8439,QB,23,219.2317,219.2317,0.0,169.24,5
Drake London,4426502,WR,1,218.7077,269.7561,102.1,19.42,2
Kyren Williams,4430737,RB,14,215.4142,232.1119,33.4,38.79,3
Rashee Rice,4428331,WR,12,214.1781,260.5048,92.65,26.09,2
Quinshon Judkins,4685702,RB,5,211.3686,227.4334,32.13,52.2,4
A.J. Brown,4047646,WR,17,205.9661,248.8399,85.75,23.54,2
Nico Collins,4258173,WR,34,204.993,248.2569,86.53,26.24,2
Chris Olave,4361370,WR,18,204.7918,250.443,91.3,30.27,2
Cam Skattebo,4696981,RB,19,204.7085,227.1494,44.88,45.43,4
Malik Nabers,4595348,WR,19,202.6663,245.7246,86.12,34.4,2
Garrett Wilson,4569618,WR,20,199.3762,249.4044,100.06,36.86,3
Jacoby Brissett,2578570,QB,22,198.9272,198.9272,0.0,169.99,5
George Pickens,4426354,WR,6,198.8285,238.6142,79.57,29.34,3
Davante Adams,16800,WR,14,198.5568,232.309,67.5,46.44,3
Zay Flowers,4429615,WR,33,197.9258,238.7785,81.71,43.19,3
D'Andre Swift,4259545,RB,3,196.4602,211.6753,30.43,58.22,4
Tetairoa McMillan,4685472,WR,29,194.6667,236.4686,83.6,41.79,3
Emeka Egbuka,4567750,WR,27,194.2364,229.0423,69.61,46.52,3
DeVonta Smith,4241478,WR,21,193.9733,239.2396,90.53,38.55,4
Brock Bowers,4432665,TE,13,191.5119,240.9384,98.85,24.11,1
Bucky Irving,4596448,RB,27,188.6712,207.0779,36.81,56.22,4
Bhayshul Tuten,4882093,RB,30,188.4286,205.2927,33.73,67.09,4
Trey McBride,4361307,TE,22,187.9625,241.8695,107.81,21.73,1
Fernando Mendoza,4837248,QB,13,187.5552,187.5552,0.0,168.11,5
Rome Odunze,4431299,WR,3,182.9832,212.6402,59.31,64.88,4
Tee Higgins,4239993,WR,4,182.7157,219.3407,73.25,52.86,4
Rhamondre Stevenson,4569173,RB,17,181.6453,202.8631,42.44,81.97,4
Ladd McConkey,4612826,WR,24,181.2243,221.0366,79.62,48.14,4
Jadarian Price,4685512,RB,26,180.5297,194.0606,27.06,72.17,5
Terry McLaurin,3121422,WR,28,180.2063,218.7176,77.02,60.85,4
TreVeyon Henderson,4432710,RB,17,178.0116,197.3752,38.73,79.43,5
David Montgomery,4035538,RB,34,176.8171,192.5587,31.48,66.23,5
Jameson Williams,4426388,WR,8,176.2936,208.3968,64.21,65.72,4
DJ Moore,3915416,WR,2,175.9381,209.5141,67.15,62.77,5
Jaylen Waddle,4372016,WR,7,175.0029,213.2813,76.56,54.04,5
Brandon Aubrey,3953687,K,6,171.662,171.662,0.0,86.34,1
Rico Dowdle,4038815,RB,23,171.4699,186.09,29.24,98.9,5
Tony Pollard,3916148,RB,10,170.9545,185.8035,29.7,97.17,5
Courtland Sutton,3128429,WR,7,169.7574,204.3504,69.19,81.04,5
Jaylen Warren,4569987,RB,23,168.6349,191.6864,46.1,92.89,5
Tyler Warren,4431459,TE,11,168.3948,210.8719,84.95,51.51,1
Luther Burden III,4685278,WR,3,168.3449,205.868,75.05,76.62,5
Colston Loveland,4723086,TE,3,165.8258,205.9173,80.18,43.66,1
Carnell Tate,4871023,WR,10,165.1424,202.4087,74.53,77.33,5
J.K. Dobbins,4241985,RB,7,164.3304,175.0089,21.36,113.88,6
DK Metcalf,4047650,WR,23,163.5555,195.9416,64.77,85.97,5
Kyle Monangai,4608686,RB,3,163.3617,176.1883,25.65,125.15,6
Cameron Dicker,4362081,K,24,161.8937,161.8937,0.0,109.9,1
Harrison Mevis,4574716,K,14,159.5297,159.5297,0.0,136.67,1
Marvin Harrison Jr.,4432708,WR,22,159.4234,193.802,68.76,81.86,6
Jason Myers,2473037,K,26,158.505,158.505,0.0,117.3,1
Ka'imi Fairbairn,2971573,K,34,157.8616,157.8616,0.0,128.52,1
Christian Watson,4248528,WR,9,157.7094,185.1281,54.84,92.5,6
Alec Pierce,4360078,WR,11,156.4383,186.7231,60.57,105.92,6
Parker Washington,4432620,WR,30,155.3738,187.2531,63.76,92.05,6
Eddy Pineiro,4034949,K,25,155.3178,155.3178,0.0,143.83,1
Jonathon Brooks,4678008,RB,29,154.4112,170.7586,32.69,109.64,6
Aaron Jones Sr.,3042519,RB,16,153.5171,177.0242,47.01,121.71,6
Michael Pittman Jr.,4035687,WR,23,153.119,197.3363,88.43,90.44,6
Mike Evans,16737,WR,25,152.5034,180.8693,56.73,89.15,6
Chuba Hubbard,4241416,RB,29,152.3061,172.9348,41.26,113.39,6
Kenny Gainwell,4371733,RB,27,151.7728,177.8291,52.11,108.64,6
George Kittle,3040151,TE,25,151.7386,188.878,74.28,82.3,1
Matthew Golden,4701936,WR,9,151.6281,184.9619,66.67,107.99,7
Jacory Croskey-Merritt,4575131,RB,28,151.5162,159.5404,16.05,134.3,7
Blake Corum,4429096,RB,14,151.0353,159.3731,16.68,130.08,7
Sam LaPorta,4430027,TE,8,149.4403,188.5969,78.31,72.44,1
Harrison Butker,3055899,K,12,148.7676,148.7676,0.0,143.43,2
Brian Thomas Jr.,4432773,WR,30,148.0988,176.6489,57.1,109.29,7
Harold Fannin Jr.,5083076,TE,5,147.2567,189.1763,83.84,72.82,2
Jakobi Meyers,3916433,WR,30,147.0491,181.961,69.82,119.23,7
Cam Little,4686361,K,30,146.8535,146.8535,0.0,140.95,2
Tyler Loop,4697745,K,33,146.0304,146.0304,0.0,164.99,2
Xavier Worthy,4683062,WR,12,145.8917,173.7182,55.65,127.65,7
Jake Bates,4689936,K,8,145.8455,145.8455,0.0,157.17,2
Tucker Kraft,4572680,TE,9,144.9801,180.6715,71.38,90.28,2
Kyle Pitts Sr.,4360248,TE,1,144.8969,185.1312,80.47,67.0,2
Rachaad White,4697815,RB,28,144.5592,164.7363,40.35,128.96,7
Cairo Santos,17427,K,3,144.4116,144.4116,0.0,168.88,2
Trey Smack,4869461,K,9,144.0038,144.0038,0.0,167.81,2
Jordan Mason,4360569,RB,16,143.8255,150.5265,13.4,139.1,7
Shedeur Sanders,4432762,QB,5,142.971,142.971,0.0,169.77,6
Chris Boswell,17372,K,23,142.8567,142.8567,0.0,164.45,3
Will Reichard,4567104,K,16,142.229,142.229,0.0,167.59,3
Chase McLaughlin,3150744,K,27,142.1958,142.1958,0.0,170.15,3
Evan McPherson,4360234,K,4,142.1386,142.1386,0.0,169.25,3
Dallas Goedert,3121023,TE,21,141.7417,177.0523,70.62,102.42,2
Nick Folk,10621,K,1,141.2656,141.2656,0.0,170.29,3
